id,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365
2539,2787,John,Brooklyn,Kensington,Private room,149,1,9,365
2595,2845,Jennifer,Manhattan,Midtown,Entire home/apt,225,1,45,355
3831,4869,LisaRoxanne,Brooklyn,Clinton Hill,Entire home/apt,89,1,270,194
5022,7192,Laura,Manhattan,East Harlem,Entire home/apt,80,10,9,0
5099,7322,Chris,Manhattan,Murray Hill,Entire home/apt,200,3,74,129
5121,7356,Garon,Brooklyn,Bedford-Stuyvesant,Private room,60,45,49,0
5178,8967,Shunichi,Manhattan,Hell's Kitchen,Private room,79,2,430,220
5203,7490,MaryEllen,Manhattan,Upper West Side,Private room,79,2,118,0
5238,7549,Ben,Manhattan,Chinatown,Entire home/apt,150,1,160,188
5295,7702,Lena,Manhattan,Upper West Side,Entire home/apt,135,5,53,6
5441,7989,Kate,Manhattan,Hell's Kitchen,Private room,85,2,188,39
5803,9744,Laurie,Brooklyn,South Slope,Private room,89,4,167,314
6021,11528,Claudio,Manhattan,Upper West Side,Private room,85,2,113,333
6090,11975,Alina,Manhattan,West Village,Entire home/apt,120,90,27,0
6848,15991,Allen & Irina,Brooklyn,Williamsburg,Entire home/apt,140,2,148,46
7097,17571,Jane,Brooklyn,Fort Greene,Entire home/apt,215,2,198,321
7322,18946,Doti,Manhattan,Chelsea,Private room,140,1,260,12
7726,20950,Adam And Charity,Brooklyn,Crown Heights,Entire home/apt,99,3,53,21
7801,21207,Chaya,Brooklyn,Williamsburg,Entire home/apt,299,3,9,0
8024,22486,Lisel,Brooklyn,Park Slope,Private room,130,2,130,347
8025,22486,Lisel,Brooklyn,Park Slope,Private room,80,1,39,364
8110,22486,Lisel,Brooklyn,Park Slope,Private room,110,2,71,304
8490,25183,Nathalie,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,88,233
8505,25326,Gregory,Brooklyn,Windsor Terrace,Private room,60,1,19,85
9357,30193,Tommi,Manhattan,Hell's Kitchen,Entire home/apt,150,10,58,75
9518,31374,Shon,Manhattan,Inwood,Private room,44,3,108,311
9657,21904,Dana,Manhattan,East Village,Entire home/apt,180,14,29,67
9668,32294,Ssameer Or Trip,Manhattan,Harlem,Private room,50,3,242,355
9704,32045,Teri,Manhattan,Harlem,Private room,52,2,88,255
9782,32169,Andrea,Brooklyn,Greenpoint,Private room,55,4,197,284
9783,32294,Ssameer Or Trip,Manhattan,Harlem,Private room,50,3,273,359
10452,35935,Angela,Brooklyn,Bedford-Stuyvesant,Private room,70,1,74,269
10962,9744,Laurie,Brooklyn,South Slope,Private room,89,4,168,340
11708,44145,Tyrome,Brooklyn,Bushwick,Entire home/apt,85,2,231,22
12048,7549,Ben,Manhattan,Lower East Side,Shared room,40,1,214,188
12192,46978,Edward,Manhattan,East Village,Private room,68,2,245,96
12299,47610,Abdul,Brooklyn,South Slope,Entire home/apt,120,3,15,345
12303,47618,Yolande,Brooklyn,Fort Greene,Private room,120,7,25,311
12318,16800,Cyn,Manhattan,Upper West Side,Private room,135,4,81,273
12343,47727,Earl,Manhattan,Harlem,Entire home/apt,150,7,97,309
12627,49670,Rana,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,150,29,11,95
12937,50124,Orestes,Queens,Long Island City,Private room,130,3,248,215
12940,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,7,61,265
13050,50846,Jennifer,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,11,0
13394,52335,Alexander,Brooklyn,Fort Greene,Private room,80,3,135,192
13808,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,Private room,80,1,112,251
14287,56094,Joya,Manhattan,Upper West Side,Entire home/apt,151,2,73,302
14290,56104,James,Brooklyn,Williamsburg,Entire home/apt,228,3,82,140
14314,56246,Jeanne,Brooklyn,Greenpoint,Entire home/apt,144,2,328,234
14322,56284,Francesca,Manhattan,Kips Bay,Entire home/apt,200,7,19,257
14377,56512,Joanna,Brooklyn,Williamsburg,Entire home/apt,150,30,105,30
14991,59023,Bianca,Manhattan,Lower East Side,Private room,110,5,19,301
15220,59734,Luiz,Manhattan,Hell's Kitchen,Private room,69,2,289,294
15338,32169,Andrea,Brooklyn,Greenpoint,Private room,49,4,138,320
15341,60049,Ted,Manhattan,SoHo,Entire home/apt,180,30,21,154
15385,60252,Cristina,Brooklyn,Williamsburg,Private room,80,2,42,263
15396,60278,Petra,Manhattan,Chelsea,Entire home/apt,375,180,5,180
15711,61491,D,Manhattan,Upper East Side,Entire home/apt,250,2,66,231
16326,63588,Dimitri,Brooklyn,Prospect Heights,Entire home/apt,200,30,143,297
16338,63613,Patricia,Brooklyn,Clinton Hill,Private room,55,7,27,292
16421,63924,Mark,Manhattan,Hell's Kitchen,Private room,52,30,191,191
16458,64056,Sara,Brooklyn,Park Slope,Entire home/apt,225,3,4,0
16580,64442,Reka,Manhattan,East Village,Private room,80,1,338,72
16595,64522,Daniel,Brooklyn,Williamsburg,Entire home/apt,275,1,148,362
16821,4396,Casey,Manhattan,East Village,Private room,99,1,106,336
16974,65837,Robin,Manhattan,East Harlem,Entire home/apt,225,4,190,215
17037,66035,Anna,Manhattan,East Village,Entire home/apt,230,9,49,116
17092,66243,Enzo,Manhattan,Hell's Kitchen,Private room,51,7,23,88
17693,68428,Tye And Etienne,Manhattan,Washington Heights,Private room,65,2,49,336
17747,68599,George,Brooklyn,Clinton Hill,Private room,105,2,105,304
18127,69829,Josh,Manhattan,East Village,Entire home/apt,190,5,21,224
18152,69942,Victoria,Manhattan,Upper East Side,Private room,200,1,142,322
18198,70091,Justin,Queens,Woodside,Private room,70,30,25,324
18590,71512,Blaise,Brooklyn,Fort Greene,Private room,95,3,143,132
18728,71876,DAVID And RICK,Manhattan,Chelsea,Private room,150,3,167,295
18764,72014,Lulú,Brooklyn,Williamsburg,Private room,145,3,61,238
19159,73051,Sybilla,Manhattan,Harlem,Entire home/apt,110,31,54,209
19169,73128,JoLynn,Manhattan,Lower East Side,Entire home/apt,285,5,70,328
19282,73469,Gaia,Brooklyn,Flatbush,Entire home/apt,130,6,16,38
19319,44263,Ana,Manhattan,Lower East Side,Private room,94,30,94,188
19601,74303,Maggie,Brooklyn,Brooklyn Heights,Entire home/apt,800,1,25,7
19812,74857,Starlee,Brooklyn,Williamsburg,Entire home/apt,105,3,61,272
20299,62407,Edward,Manhattan,East Village,Private room,60,3,194,26
20300,76627,Pas,Manhattan,East Village,Private room,50,1,2,0
20611,72014,Lulú,Brooklyn,Williamsburg,Private room,85,3,174,288
20724,961342,Augustin,Brooklyn,Bushwick,Private room,65,4,24,317
20734,78460,Sean & Lynette,Brooklyn,Prospect Heights,Entire home/apt,131,4,166,207
20755,51038,Erica,Brooklyn,Clinton Hill,Private room,98,7,16,185
20853,79070,Tracy,Brooklyn,Prospect Heights,Entire home/apt,250,7,21,158
20913,79402,Christiana,Brooklyn,Williamsburg,Entire home/apt,100,5,168,0
21293,44145,Tyrome,Brooklyn,Bushwick,Entire home/apt,105,3,118,9
21456,42032,Dana,Manhattan,Upper West Side,Entire home/apt,140,3,81,198
