id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,availability_365,
2539,Brooklyn,Kensington,Private room,149,1,365,
2595,Manhattan,Midtown,Entire home/apt,225,1,355,
3831,Brooklyn,Clinton Hill,Entire home/apt,89,1,194,
5022,Manhattan,East Harlem,Entire home/apt,80,10,0,
5099,Manhattan,Murray Hill,Entire home/apt,200,3,129,
5121,Brooklyn,Bedford-Stuyvesant,Private room,60,45,0,
5178,Manhattan,Hell's Kitchen,Private room,79,2,220,
5203,Manhattan,Upper West Side,Private room,79,2,0,
5238,Manhattan,Chinatown,Entire home/apt,150,1,188,
5295,Manhattan,Upper West Side,Entire home/apt,135,5,6,
5441,Manhattan,Hell's Kitchen,Private room,85,2,39,
5803,Brooklyn,South Slope,Private room,89,4,314,
6021,Manhattan,Upper West Side,Private room,85,2,333,
6090,Manhattan,West Village,Entire home/apt,120,90,0,
6848,Brooklyn,Williamsburg,Entire home/apt,140,2,46,
7097,Brooklyn,Fort Greene,Entire home/apt,215,2,321,
7322,Manhattan,Chelsea,Private room,140,1,12,
7726,Brooklyn,Crown Heights,Entire home/apt,99,3,21,
7801,Brooklyn,Williamsburg,Entire home/apt,299,3,0,
8024,Brooklyn,Park Slope,Private room,130,2,347,
8025,Brooklyn,Park Slope,Private room,80,1,364,
8110,Brooklyn,Park Slope,Private room,110,2,304,
8490,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,233,
8505,Brooklyn,Windsor Terrace,Private room,60,1,85,
9357,Manhattan,Hell's Kitchen,Entire home/apt,150,10,75,
9518,Manhattan,Inwood,Private room,44,3,311,
9657,Manhattan,East Village,Entire home/apt,180,14,67,
9668,Manhattan,Harlem,Private room,50,3,355,
9704,Manhattan,Harlem,Private room,52,2,255,
9782,Brooklyn,Greenpoint,Private room,55,4,284,
9783,Manhattan,Harlem,Private room,50,3,359,
10452,Brooklyn,Bedford-Stuyvesant,Private room,70,1,269,
10962,Brooklyn,South Slope,Private room,89,4,340,
11708,Brooklyn,Bushwick,Entire home/apt,85,2,22,
12048,Manhattan,Lower East Side,Shared room,40,1,188,
12192,Manhattan,East Village,Private room,68,2,96,
